G1,G2,G3,G4,G5,G6,G7
A,A,B,A,B,B,A
A,B,B,A,B,B,A
A,B,B,A,B,B,A
A,B,B,A,B,B,A
A,B,B,B,A,B,A
A,B,B,B,A,B,A
A,A,B,A,B,B,B
A,A,B,A,A,B,B
A,A,A,A,B,C,B
A,B,C,B,A,A,C
A,A,B,A,B,B,A
A,A,B,A,B,B,A
A,B,B,A,B,B,A
B,A,B,A,B,B,A
A,A,B,A,B,B,A
A,A,B,A,B,B,A
B,B,B,A,B,B,A
A,B,B,A,B,B,A
A,A,B,A,A,B,A
A,B,B,A,B,B,A
A,B,C,A,B,B,A
A,A,A,A,B,B,A
A,B,B,A,A,B,A
A,A,B,A,B,B,A
B,B,B,A,B,B,B
A,B,A,A,B,B,A
A,B,B,A,A,B,A
B,B,B,A,B,B,A
A,A,B,A,A,B,B
B,B,C,A,B,B,A
A,A,B,A,B,B,A
A,A,B,A,B,B,A
B,A,B,B,B,A,C
A,B,B,A,B,B,A
A,A,A,A,B,B,A
A,B,B,A,B,B,A
A,B,B,A,B,B,A
A,A,A,A,A,B,B
A,B,A,B,B,B,A
A,A,B,B,A,B,C
